net_id,minlat_id,maxlat_id,minlon_id,maxlon_id,maxkmNS,maxkmEW,min_cut_lat,min_cut_lon,maxlon_dist,maxlat_dist,latavg,lonavg
285,54092,57115,54092,57115,3.71582129,3.772798309,1,1,0.04564722,0.033604837,42.05787661,-70.68584313
286,58244,18462,18462,58244,1.300195881,0.081405424,1,1,0.000967347,0.011758604,40.89055328,-72.57901119
287,357324,357297,357297,357324,5.51218033,3.231983599,1,1,0.041174365,0.049850601,45.15971177,-97.42141663
288,222172,222878,222172,222511,0.373281831,3.774348638,1,1,0.039370194,0.003375855,30.54858629,-84.08427507
289,129761,1891,127699,24059,19.07044731,40.21033612,1,1,0.508266403,0.172467735,44.70950447,-85.60552346
290,142257,142035,142035,142257,2.308278711,1.354628227,1,1,0.015444939,0.02087542,38.0117238,-75.45239999
291,11284,120388,120388,11284,4.18830736,5.056164848,1,1,0.059431118,0.037877868,40.15957962,-74.06163954
292,469442,468714,468714,469442,0.742626552,1.848714714,1,1,0.023061215,0.006716105,43.93401851,-121.9464668
293,352,52144,1612,114091,19.49798133,12.42586672,1,1,0.165784424,0.176334232,47.67733865,-91.03870961
294,33339,77032,33339,77032,0.130469743,0.791144676,1,1,0.010117137,0.001179931,45.37458501,-83.6665025
295,36234,2212,36234,1692,7.028039255,1.490924348,1,1,0.017940403,0.0635596,41.70858751,-70.91574105
296,4997,70686,5111,105947,7.190673215,11.18171371,1,1,0.145867117,0.065030416,46.47900739,-91.73153116
297,137973,97943,97943,137973,11.00672079,6.503243663,1,1,0.080219186,0.099541672,43.26010202,-76.74411667
298,131925,53259,131925,93696,8.341775002,18.22346615,3,3,0.230626908,0.075440655,44.77950074,-88.35366989
299,229584,230607,230607,226575,0.565318326,0.822434513,2,2,0.008501849,0.005112579,29.65807029,-85.09526073
300,124459,28890,28890,124459,2.661342483,0.207895342,1,1,0.002618573,0.024068429,44.50445694,-67.91207194
301,149091,147876,149091,144833,15.53135006,12.43929832,4,1,0.142425556,0.14046114,38.31822347,-75.62211481
302,211196,206553,206553,211196,91.01366714,73.52698869,1,1,0.752393214,0.823101879,28.61322764,-82.20317312
303,451652,450626,450626,451652,14.07214238,6.287738255,1,1,0.076244646,0.127264478,42.19851045,-108.5317256
304,16459,15426,3472,82183,21.70956089,39.83640149,5,1,0.520173482,0.196335132,46.53137393,-92.42091616
305,317122,316993,317117,316963,44.83108151,28.11274513,1,3,0.383830377,0.405439629,48.85625379,-113.4945484
306,118231,83167,83167,118231,5.26028124,4.045449927,1,1,0.046950903,0.047572497,39.28381599,-75.08704125
307,21833,32292,73794,88536,44.3366787,14.53667827,8,1,0.188549189,0.40096839,46.16538225,-86.70624136
308,4036,119,119,15420,8.385377014,5.230042105,3,3,0.069669133,0.075834979,47.59531499,-91.01463272
309,44936,106001,53283,136972,22.474464,35.24098676,1,1,0.424306236,0.2032527,41.74620886,-86.63904786
310,207849,205480,207849,205480,0.242129585,0.461263752,1,1,0.004724687,0.002189752,28.71611945,-82.64081407
311,143040,142468,143030,142468,10.87398252,10.39290718,2,2,0.119957352,0.098341224,38.89612622,-76.1116415
312,456279,455972,456279,455972,23.61803398,0.26603405,1,1,0.003200878,0.213594823,41.70197143,-112.4594059
313,90901,94013,99111,90901,6.666572179,6.787043855,1,1,0.089371856,0.060290594,46.98457354,-94.90432388
314,445543,445641,446275,445622,29.84482837,107.7041322,1,1,1.078835248,0.269908192,26.25629715,-97.46815856
315,65734,74984,49152,130750,42.0786026,19.80251202,21,1,0.237679212,0.380546988,41.54442189,-81.34328567
316,135217,62296,135217,62296,5.436516083,3.395537578,1,1,0.040565142,0.049166315,41.24111961,-73.02075044
317,193781,197521,195027,201371,11.4025462,11.16552751,1,3,0.11094056,0.103121405,25.29731873,-80.9151441
318,480401,480078,480401,480078,2.423031677,0.601586243,1,1,0.006834909,0.021913214,37.75205046,-120.5141801
319,1691,141078,141078,1691,0.590099406,2.273834381,1,1,0.029398123,0.005336692,45.98767242,-85.9893445
320,482017,482456,482017,482456,0.83942938,0.659547402,1,1,0.007078388,0.007591562,33.17230561,-117.3504568
321,19719,59506,59506,24056,21.38178995,25.58851942,3,1,0.32630736,0.193370864,45.21523914,-85.1170532
322,26026,171,26026,171,1.033520026,1.459230713,1,1,0.019484873,0.009346863,47.7201573,-90.62242651
323,26064,38557,38557,51121,10.41072398,3.196416134,1,1,0.040906545,0.094151645,45.41723049,-87.5128179
324,234794,234255,234255,235947,26.96126046,4.135756389,4,4,0.04321202,0.243830018,30.70992407,-86.19692046
