net_id,vertices_count,edges_count,artic_count,max_cliques,mean_degree_norm,far_vert_1,far_vert_2,far_vert_dist,edge_conn,edge_dens,min_cut,far_min_cut,strength
510,3,2,1,2,0.666666667,356061,356748,7.322,1,0.666666667,1,1,4.881333333
511,2,1,0,1,1,127858,110985,0.076,1,1,1,1,0.076
512,2,1,0,1,1,35237,52,3.205,1,1,1,1,3.205
513,2,1,0,1,1,200429,195306,1.488,1,1,1,1,1.488
514,2,1,0,1,1,447016,447078,13.962,1,1,1,1,13.962
515,2,1,0,1,1,482526,482234,0.719,1,1,1,1,0.719
516,5,4,3,4,0.4,472006,471607,10.124,1,0.4,1,1,4.0496
517,5,5,2,3,0.5,39617,132968,15.887,1,0.5,1,1,12.968
518,2,1,0,1,1,344770,346027,17.106,1,1,1,1,17.106
519,7,7,3,5,0.333333333,36224,97581,21.293,1,0.333333333,1,1,13.17142857
520,2,1,0,1,1,471492,471744,32.258,1,1,1,1,32.258
521,6,8,2,3,0.533333333,482722,482695,55.524,1,0.533333333,1,1,72.101
522,10,19,4,5,0.422222222,205609,204450,16.069,1,0.422222222,1,5,33.6088
523,3,2,1,2,0.666666667,12233,45716,0.62,1,0.666666667,1,1,0.413333333
524,5,4,3,4,0.4,45733,9428,5.942,1,0.4,1,1,2.3768
525,2,1,0,1,1,109929,132044,0.069,1,1,1,1,0.069
526,3,2,1,2,0.666666667,206593,203154,4.193,1,0.666666667,1,1,2.795333333
