"lagoslakeid","net_id","net_dams_n","lake_nets_nearestdamdown_km","lake_nets_nearestdamup_km","lake_nets_totaldamup_n","lake_nets_totaldamdown_n","lake_nets_damonlake_flag","lake_nets_multidam_flag"
317960,1,24986,NA,NA,0,0,"N","N"
317969,1,24986,0,NA,0,1,"N","N"
317970,1,24986,0,NA,0,1,"Y","N"
317975,1,24986,0,NA,0,1,"Y","N"
317977,1,24986,3.791,NA,0,1,"N","N"
317980,1,24986,0,NA,0,1,"Y","N"
317981,1,24986,245.901,NA,0,5,"N","N"
317982,1,24986,NA,NA,0,0,"N","N"
317983,1,24986,NA,NA,0,0,"N","N"
317985,1,24986,0,NA,0,1,"N","N"
317986,1,24986,0,NA,0,1,"N","N"
317987,1,24986,0,6.542,1,1,"N","N"
317988,1,24986,NA,NA,0,0,"N","N"
317991,1,24986,0,0.632,1,1,"N","N"
317992,1,24986,NA,NA,0,0,"N","N"
317994,1,24986,0,NA,0,2,"N","N"
317996,1,24986,0,NA,0,1,"Y","N"
317997,1,24986,NA,NA,0,0,"N","N"
318002,1,24986,NA,NA,0,0,"N","N"
