"net_id","net_lakes_n","net_averagelakedistance_km","net_averagelakearea_ha","net_dams_n","net_avgorder","net_maxorder","net_minorder","net_rangeorder","vertices_count","edges_count","artic_count","max_cliques","mean_degree_norm","far_vert_1","far_vert_2","far_vert_dist","edge_conn","edge_dens","min_cut","far_min_cut","strength","minlat_id","maxlat_id","minlon_id","maxlon_id","maxkmNS","maxkmEW","min_cut_lat","min_cut_lon","maxlon_dist","maxlat_dist","latavg","lonavg"
261,55,77.361,271.79,12,1,5,0,5,55,235,23,28,0.158249158,457218,456931,304.258,1,0.158249158,1,1,661.0857091,457000,457009,457076,457038,118.4857677,80.14757182,1,1,0.91987406,1.071551791,38.49200079,-119.1780359
477,2,1.22,48.363,0,2,2,2,0,2,1,0,1,1,457241,457242,1.22,1,1,1,1,1.22,457241,457242,457241,457242,3.747720932,3.37826724,1,1,0.039393174,0.033893329,39.61248164,-118.9548252
716,2,8.352,1.359,0,4,4,3,1,2,1,0,1,1,457484,457560,8.352,1,1,1,1,8.352,457484,457560,457560,457484,7.483460984,2.492342701,1,1,0.028417368,0.067678306,38.01341318,-114.7585666
754,4,40.889,46.214,6,4,5,3,2,4,6,0,1,1,457516,457592,62.866,3,1,3,3,122.6675,457519,457589,457589,457592,34.94074765,13.96577586,3,3,0.162187537,0.315994245,39.3281702,-114.8319975
34,2397,355.903,159.794,915,1,9,0,9,2397,93217,647,830,0.032461626,459826,463173,2580.165,1,0.032461626,1,1,27681.47836,465079,460323,467524,463179,820.3592652,1120.037963,1,1,14.19856583,7.419097304,44.80331802,-115.0881019
773,2,6.36,86.431,0,1,2,0,2,2,1,0,1,1,457671,459066,6.36,1,1,1,1,6.36,457671,459066,457671,459066,5.558535938,5.102441497,1,1,0.068819515,0.050269828,48.23843798,-115.9803732
433,3,0.134,7.84,2,4,4,4,0,3,2,1,2,0.666666667,459869,458361,0.267,1,0.666666667,1,1,0.178,459869,458361,458361,458009,1.124783208,0.344492474,1,1,0.004625654,0.010172221,48.0089692,-117.0069469
264,5,1.885,9.405,0,2,2,1,1,5,4,3,4,0.4,460229,459878,7.54,1,0.4,1,1,3.016,460229,459878,459878,460229,5.264152945,2.230934563,1,1,0.029966687,0.047607511,48.02778429,-116.7028385
330,2,0.728,6.677,0,0,1,0,1,2,1,0,1,1,458346,459857,0.728,1,1,1,1,0.728,458346,459857,459857,458346,1.227648091,0.016022249,1,1,0.000217839,0.011102502,48.64524793,-117.3375807
732,2,0.097,3.916,0,2,2,1,1,2,1,0,1,1,458455,459596,0.097,1,1,1,1,0.097,459596,458455,458455,459596,0.272653706,0.603567831,1,1,0.008209847,0.002465803,48.6681359,-114.7960412
807,2,6.88,5.607,1,4,4,3,1,2,1,0,1,1,458711,460214,6.88,1,1,1,1,6.88,460214,458711,458711,460214,3.992484786,4.922540433,1,1,0.065620747,0.036106904,47.63344329,-117.1525028
749,2,1.781,42.047,0,2,3,0,3,2,1,0,1,1,459419,460508,1.781,1,1,1,1,1.781,460508,459419,459419,460508,2.241312978,1.345815064,1,1,0.017756731,0.020269801,47.08993481,-112.9276762
567,2,0.46,792.303,0,2,3,1,2,2,1,0,1,1,459876,459442,0.46,1,1,1,1,0.46,459442,459876,459876,459442,1.661817587,3.469484082,1,1,0.046367832,0.015029009,47.76549823,-116.7328777
106,15,2.277,22.092,0,4,4,1,3,15,14,13,14,0.133333333,462161,462154,31.873,1,0.133333333,1,1,4.249733333,462154,462161,462154,462161,29.30159456,26.06299713,1,1,0.346843227,0.264995338,47.54385637,-118.5690272
877,2,21.594,10.079,0,2,2,1,1,2,1,0,1,1,460860,461571,21.594,1,1,1,1,21.594,460860,461571,461571,460860,16.5823959,5.839170139,1,1,0.07936506,0.149966501,48.62972807,-119.5879369
543,5,3.516,8.298,0,2,3,1,2,5,5,2,3,0.5,460958,461435,13.048,1,0.5,1,1,7.0316,460957,461435,460957,461435,8.283944909,7.551702877,1,1,0.100359282,0.074917656,47.47184007,-118.7759705
